product_id,name,category,skin_type,concern,price
207,Product_207,Sunscreen,Sensitive,Acne,37020
208,Product_208,Moisturizer,Combination,Redness,194999
209,Product_209,Sunscreen,All,Anti-aging,118803
210,Product_210,Sunscreen,Normal,Brightening,50023
211,Product_211,Moisturizer,Sensitive,Acne,115020
212,Product_212,Cleanser,All,Acne,51228
213,Product_213,Sunscreen,Oily,Redness,47347
214,Product_214,Cleanser,Dry,Anti-aging,122221
215,Product_215,Toner,Oily,Dullness,75780
216,Product_216,Sunscreen,Normal,Anti-aging,176432
217,Product_217,Sunscreen,Dry,Brightening,159284
218,Product_218,Cleanser,Normal,Redness,60801
219,Product_219,Sunscreen,Sensitive,Anti-aging,178419
220,Product_220,Cleanser,Normal,Hydration,89990
221,Product_221,Moisturizer,Oily,Redness,108926
222,Product_222,Moisturizer,Oily,Acne,60720
223,Product_223,Cleanser,Oily,Redness,107130
224,Product_224,Moisturizer,Combination,Brightening,71077
225,Product_225,Cleanser,Oily,Dullness,34249
226,Product_226,Moisturizer,Normal,Redness,160080
227,Product_227,Serum,Combination,Hydration,150891
228,Product_228,Cleanser,Combination,Anti-aging,193028
229,Product_229,Serum,All,Dullness,38092
230,Product_230,Serum,All,Redness,191245
231,Product_231,Toner,Dry,Brightening,103373
232,Product_232,Serum,Sensitive,Acne,173098
233,Product_233,Sunscreen,Sensitive,Acne,46906
234,Product_234,Cleanser,All,Dullness,138507
235,Product_235,Sunscreen,Oily,Acne,121045
236,Product_236,Serum,Combination,Dullness,95389
237,Product_237,Sunscreen,All,Brightening,67043
238,Product_238,Toner,Dry,Brightening,174034
239,Product_239,Cleanser,Normal,Brightening,59303
240,Product_240,Toner,Oily,Anti-aging,183109
241,Product_241,Moisturizer,Oily,Brightening,145911
242,Product_242,Moisturizer,Combination,Acne,40727
243,Product_243,Sunscreen,Combination,Hydration,179209
244,Product_244,Cleanser,Dry,Anti-aging,30253
245,Product_245,Cleanser,Dry,Hydration,63554
246,Product_246,Sunscreen,Normal,Anti-aging,104936
247,Product_247,Toner,Normal,Brightening,36233
248,Product_248,Serum,Normal,Acne,199317
249,Product_249,Toner,All,Brightening,173232
250,Product_250,Sunscreen,Combination,Dullness,159375
251,Product_251,Sunscreen,All,Redness,107841
252,Product_252,Serum,Combination,Redness,165087
253,Product_253,Cleanser,Combination,Acne,105600
254,Product_254,Cleanser,Oily,Hydration,162308
255,Product_255,Serum,Dry,Redness,62212
256,Product_256,Toner,Dry,Brightening,118312
257,Product_257,Sunscreen,Sensitive,Redness,102740
258,Product_258,Cleanser,All,Hydration,150335
259,Product_259,Sunscreen,Sensitive,Hydration,91320
260,Product_260,Cleanser,Sensitive,Hydration,80151
261,Product_261,Toner,Oily,Hydration,81723
262,Product_262,Cleanser,Combination,Acne,105805
263,Product_263,Sunscreen,All,Brightening,184123
264,Product_264,Sunscreen,Dry,Acne,172156
265,Product_265,Toner,Sensitive,Anti-aging,187239
266,Product_266,Moisturizer,Dry,Anti-aging,40139
267,Product_267,Sunscreen,Combination,Hydration,128255
268,Product_268,Cleanser,Dry,Dullness,31005
269,Product_269,Toner,Dry,Anti-aging,93913
270,Product_270,Toner,Sensitive,Brightening,120596
271,Product_271,Cleanser,Dry,Dullness,32168
272,Product_272,Sunscreen,Normal,Redness,113107
273,Product_273,Serum,Combination,Acne,151321
274,Product_274,Sunscreen,All,Acne,125651
275,Product_275,Toner,Dry,Dullness,41885
276,Product_276,Cleanser,Combination,Redness,97092
277,Product_277,Toner,Sensitive,Anti-aging,117854
278,Product_278,Sunscreen,Dry,Dullness,103280
279,Product_279,Sunscreen,Oily,Redness,41069
280,Product_280,Sunscreen,All,Brightening,89766
281,Product_281,Toner,All,Dullness,60897
282,Product_282,Cleanser,Sensitive,Hydration,178080
283,Product_283,Cleanser,All,Dullness,69860
284,Product_284,Serum,Normal,Brightening,153736
285,Product_285,Sunscreen,All,Redness,165733
286,Product_286,Moisturizer,Combination,Dullness,44493
287,Product_287,Sunscreen,All,Hydration,39852
288,Product_288,Sunscreen,Dry,Brightening,71971
289,Product_289,Sunscreen,Combination,Hydration,47650
290,Product_290,Sunscreen,Dry,Hydration,125346
291,Product_291,Serum,Oily,Brightening,183234
292,Product_292,Sunscreen,Normal,Brightening,139131
293,Product_293,Sunscreen,All,Hydration,109071
294,Product_294,Cleanser,Dry,Hydration,129001
295,Product_295,Serum,Sensitive,Anti-aging,172535
296,Product_296,Serum,All,Redness,115213
297,Product_297,Moisturizer,Oily,Dullness,167430
298,Product_298,Cleanser,Sensitive,Dullness,186111
299,Product_299,Cleanser,Normal,Brightening,165969
300,Product_300,Moisturizer,Normal,Anti-aging,172165
