product_id,name,price,category,price_numeric,skin_type,concern,image,shopee_link
51,Somethinc Niacinamide + Moisture Beet Serum 20ml,Rp89.000,Serum,89000,Dry,Hydration,images/serum.jpg,https://shopee.co.id/search?keyword=Somethinc%2BNiacinamide%2B%2B%2BMoisture%2BBeet%2BSerum%2B20ml
52,Somethinc Hyalu-Beet Water Serum 20ml,Rp89.000,Serum,89000,Dry,Hydration,images/serum.jpg,https://shopee.co.id/search?keyword=Somethinc%2BHyalu-Beet%2BWater%2BSerum%2B20ml
53,Somethinc AHA BHA PHA Serum,Rp149.000,Serum,149000,Dry,Hydration,images/serum.jpg,https://shopee.co.id/search?keyword=Somethinc%2BAHA%2BBHA%2BPHA%2BSerum
54,Skintific 5X Ceramide Barrier Serum,Rp119.000,Serum,119000,Dry,Hydration,images/serum.jpg,https://shopee.co.id/search?keyword=Skintific%2B5X%2BCeramide%2BBarrier%2BSerum
55,Skintific Mugwort Pore Clarifying Serum,Rp109.000,Serum,109000,Dry,Hydration,images/serum.jpg,https://shopee.co.id/search?keyword=Skintific%2BMugwort%2BPore%2BClarifying%2BSerum
56,Skintific Niacinamide 10% Brightening Serum,Rp99.000,Serum,99000,Dry,Hydration,images/serum.jpg,https://shopee.co.id/search?keyword=Skintific%2BNiacinamide%2B10%25%2BBrightening%2BSerum
57,Wardah Lightening Serum,Rp65.000,Serum,65000,Dry,Hydration,images/serum.jpg,https://shopee.co.id/search?keyword=Wardah%2BLightening%2BSerum
58,Wardah Acnederm Serum,Rp79.000,Serum,79000,Dry,Hydration,images/serum.jpg,https://shopee.co.id/search?keyword=Wardah%2BAcnederm%2BSerum
59,Implora Niacinamide Serum 20ml,Rp25.000,Serum,25000,Dry,Hydration,images/serum.jpg,https://shopee.co.id/search?keyword=Implora%2BNiacinamide%2BSerum%2B20ml
60,Implora Vitamin C Serum 20ml,Rp25.000,Serum,25000,Dry,Hydration,images/serum.jpg,https://shopee.co.id/search?keyword=Implora%2BVitamin%2BC%2BSerum%2B20ml
61,Ms Glow Serum Brightening,Rp150.000,Serum,150000,Dry,Hydration,images/serum.jpg,https://shopee.co.id/search?keyword=Ms%2BGlow%2BSerum%2BBrightening
62,Ms Glow Acne Serum,Rp150.000,Serum,150000,Dry,Hydration,images/serum.jpg,https://shopee.co.id/search?keyword=Ms%2BGlow%2BAcne%2BSerum
63,Hanasui Niacinamide Serum,Rp29.000,Serum,29000,Dry,Hydration,images/serum.jpg,https://shopee.co.id/search?keyword=Hanasui%2BNiacinamide%2BSerum
64,Hanasui Collagen Serum,Rp29.000,Serum,29000,Dry,Hydration,images/serum.jpg,https://shopee.co.id/search?keyword=Hanasui%2BCollagen%2BSerum
65,Avoskin Your Skin Bae Retinol Serum,Rp189.000,Serum,189000,Dry,Hydration,images/serum.jpg,https://shopee.co.id/search?keyword=Avoskin%2BYour%2BSkin%2BBae%2BRetinol%2BSerum
66,Avoskin Miraculous Retinol Ampoule,Rp229.000,Serum,229000,Dry,Hydration,images/serum.jpg,https://shopee.co.id/search?keyword=Avoskin%2BMiraculous%2BRetinol%2BAmpoule
67,Azarine Hyalumax Serum,Rp69.000,Serum,69000,Dry,Hydration,images/serum.jpg,https://shopee.co.id/search?keyword=Azarine%2BHyalumax%2BSerum
68,Azarine Centella Serum,Rp59.000,Serum,59000,Dry,Hydration,images/serum.jpg,https://shopee.co.id/search?keyword=Azarine%2BCentella%2BSerum
69,Glad2Glow Niacinamide 10% Serum,Rp55.000,Serum,55000,Dry,Hydration,images/serum.jpg,https://shopee.co.id/search?keyword=Glad2Glow%2BNiacinamide%2B10%25%2BSerum
70,Glad2Glow Retinol 0.3% Serum,Rp75.000,Serum,75000,Dry,Hydration,images/serum.jpg,https://shopee.co.id/search?keyword=Glad2Glow%2BRetinol%2B0.3%25%2BSerum
71,Npure Centella Asiatica Serum,Rp99.000,Serum,99000,Dry,Hydration,images/serum.jpg,https://shopee.co.id/search?keyword=Npure%2BCentella%2BAsiatica%2BSerum
72,Npure Niacinamide 10% Serum,Rp89.000,Serum,89000,Dry,Hydration,images/serum.jpg,https://shopee.co.id/search?keyword=Npure%2BNiacinamide%2B10%25%2BSerum
73,The Originote Hyalucera Serum,Rp49.000,Serum,49000,Dry,Hydration,images/serum.jpg,https://shopee.co.id/search?keyword=The%2BOriginote%2BHyalucera%2BSerum
74,The Originote EGF Serum,Rp59.000,Serum,59000,Dry,Hydration,images/serum.jpg,https://shopee.co.id/search?keyword=The%2BOriginote%2BEGF%2BSerum
75,Dear Me Beauty Retinol Bakuchiol Serum,Rp129.000,Serum,129000,Dry,Hydration,images/serum.jpg,https://shopee.co.id/search?keyword=Dear%2BMe%2BBeauty%2BRetinol%2BBakuchiol%2BSerum
76,Emina Bright Stuff Serum,Rp39.000,Serum,39000,Dry,Hydration,images/serum.jpg,https://shopee.co.id/search?keyword=Emina%2BBright%2BStuff%2BSerum
77,Garnier Bright Complete Vitamin C Booster Serum,Rp85.000,Serum,85000,Dry,Hydration,images/serum.jpg,https://shopee.co.id/search?keyword=Garnier%2BBright%2BComplete%2BVitamin%2BC%2BBooster%2BSerum
78,Garnier Serum Sheet Mask Vitamin C,Rp15.000,Serum,15000,Dry,Hydration,images/serum.jpg,https://shopee.co.id/search?keyword=Garnier%2BSerum%2BSheet%2BMask%2BVitamin%2BC
79,L'Oreal Paris Revitalift 1.5% Pure Hyaluronic Acid Serum,Rp149.000,Serum,149000,Dry,Hydration,images/serum.jpg,https://shopee.co.id/search?keyword=L%27Oreal%2BParis%2BRevitalift%2B1.5%25%2BPure%2BHyaluronic%2BAcid%2BSerum
80,Kahf Energizing Face Serum,Rp69.000,Serum,69000,Dry,Hydration,images/serum.jpg,https://shopee.co.id/search?keyword=Kahf%2BEnergizing%2BFace%2BSerum
81,Olay Regenerist Micro-Sculpting Serum,Rp259.000,Serum,259000,Dry,Hydration,images/serum.jpg,https://shopee.co.id/search?keyword=Olay%2BRegenerist%2BMicro-Sculpting%2BSerum
82,Skin1004 Madagascar Centella Asiatica 100 Ampoule,Rp159.000,Serum,159000,Dry,Hydration,images/serum.jpg,https://shopee.co.id/search?keyword=Skin1004%2BMadagascar%2BCentella%2BAsiatica%2B100%2BAmpoule
83,Some By Mi AHA BHA PHA 30 Days Miracle Serum,Rp189.000,Serum,189000,Dry,Hydration,images/serum.jpg,https://shopee.co.id/search?keyword=Some%2BBy%2BMi%2BAHA%2BBHA%2BPHA%2B30%2BDays%2BMiracle%2BSerum
84,Cosrx Advanced Snail 96 Mucin Power Essence,Rp259.000,Serum,259000,Dry,Hydration,images/serum.jpg,https://shopee.co.id/search?keyword=Cosrx%2BAdvanced%2BSnail%2B96%2BMucin%2BPower%2BEssence
85,Paket Niacinamide + Moisturizer Skintific,Rp199.000,Serum,199000,Dry,Hydration,images/serum.jpg,https://shopee.co.id/search?keyword=Paket%2BNiacinamide%2B%2B%2BMoisturizer%2BSkintific
86,Skintific Multi Peptide Skin Barrier Moisturizer,Rp149.000,Moisturizer,149000,Dry,General Care,images/default.jpg,https://shopee.co.id/search?keyword=Skintific%2BMulti%2BPeptide%2BSkin%2BBarrier%2BMoisturizer
87,Skintific 5X Ceramide Moisturizer,Rp129.000,Moisturizer,129000,Dry,General Care,images/default.jpg,https://shopee.co.id/search?keyword=Skintific%2B5X%2BCeramide%2BMoisturizer
88,Somethinc Level 1% Retinol Moisturizer,Rp159.000,Moisturizer,159000,Dry,General Care,images/default.jpg,https://shopee.co.id/search?keyword=Somethinc%2BLevel%2B1%25%2BRetinol%2BMoisturizer
89,Wardah Lightening Day Cream SPF 30,Rp55.000,Moisturizer,55000,Dry,General Care,images/default.jpg,https://shopee.co.id/search?keyword=Wardah%2BLightening%2BDay%2BCream%2BSPF%2B30
90,Wardah Perfect Bright Moisturizer,Rp75.000,Moisturizer,75000,Dry,General Care,images/default.jpg,https://shopee.co.id/search?keyword=Wardah%2BPerfect%2BBright%2BMoisturizer
91,Ms Glow Luminous Cream Day & Night,Rp175.000,Moisturizer,175000,Dry,General Care,images/default.jpg,https://shopee.co.id/search?keyword=Ms%2BGlow%2BLuminous%2BCream%2BDay%2B%26%2BNight
92,Hanasui Moisturizer Gel Brightening,Rp35.000,Moisturizer,35000,Dry,General Care,images/default.jpg,https://shopee.co.id/search?keyword=Hanasui%2BMoisturizer%2BGel%2BBrightening
93,Implora Moisturizer Gel,Rp25.000,Moisturizer,25000,Dry,General Care,images/default.jpg,https://shopee.co.id/search?keyword=Implora%2BMoisturizer%2BGel
94,Emina Bright Stuff Moisturizing Lotion,Rp39.000,Moisturizer,39000,Dry,General Care,images/default.jpg,https://shopee.co.id/search?keyword=Emina%2BBright%2BStuff%2BMoisturizing%2BLotion
95,Azarine Hydrasoothe Gel Cream,Rp69.000,Moisturizer,69000,Dry,General Care,images/default.jpg,https://shopee.co.id/search?keyword=Azarine%2BHydrasoothe%2BGel%2BCream
96,Glad2Glow Ceramide Moisturizer,Rp65.000,Moisturizer,65000,Dry,General Care,images/default.jpg,https://shopee.co.id/search?keyword=Glad2Glow%2BCeramide%2BMoisturizer
97,Npure Centella Toning Moisturizer,Rp89.000,Moisturizer,89000,Dry,General Care,images/default.jpg,https://shopee.co.id/search?keyword=Npure%2BCentella%2BToning%2BMoisturizer
98,The Originote Ceramide Moisturizer,Rp55.000,Moisturizer,55000,Dry,General Care,images/default.jpg,https://shopee.co.id/search?keyword=The%2BOriginote%2BCeramide%2BMoisturizer
99,Dear Me Beauty Ceramide Moisture Barrier Cream,Rp119.000,Moisturizer,119000,Dry,General Care,images/default.jpg,https://shopee.co.id/search?keyword=Dear%2BMe%2BBeauty%2BCeramide%2BMoisture%2BBarrier%2BCream
100,Avoskin Perfect Hydrating Treatment Essence,Rp149.000,Moisturizer,149000,Dry,General Care,images/default.jpg,https://shopee.co.id/search?keyword=Avoskin%2BPerfect%2BHydrating%2BTreatment%2BEssence
101,Garnier Bright Complete Day Cream SPF 19,Rp79.000,Moisturizer,79000,Dry,General Care,images/default.jpg,https://shopee.co.id/search?keyword=Garnier%2BBright%2BComplete%2BDay%2BCream%2BSPF%2B19
102,Ponds Age Miracle Day Cream,Rp89.000,Moisturizer,89000,Dry,General Care,images/default.jpg,https://shopee.co.id/search?keyword=Ponds%2BAge%2BMiracle%2BDay%2BCream
103,Ponds Bright Beauty Day Cream,Rp65.000,Moisturizer,65000,Dry,General Care,images/default.jpg,https://shopee.co.id/search?keyword=Ponds%2BBright%2BBeauty%2BDay%2BCream
104,Olay Total Effects 7-in-1 Moisturizer,Rp155.000,Moisturizer,155000,Dry,General Care,images/default.jpg,https://shopee.co.id/search?keyword=Olay%2BTotal%2BEffects%2B7-in-1%2BMoisturizer
105,Vaseline Healthy White SPF 24 Body Lotion,Rp45.000,Moisturizer,45000,Dry,General Care,images/default.jpg,https://shopee.co.id/search?keyword=Vaseline%2BHealthy%2BWhite%2BSPF%2B24%2BBody%2BLotion
106,Cetaphil Moisturizing Cream 250gr,Rp189.000,Moisturizer,189000,Dry,General Care,images/default.jpg,https://shopee.co.id/search?keyword=Cetaphil%2BMoisturizing%2BCream%2B250gr
107,Hada Labo Gokujyun Ultimate Moisturizing Light Lotion,Rp159.000,Moisturizer,159000,Dry,General Care,images/default.jpg,https://shopee.co.id/search?keyword=Hada%2BLabo%2BGokujyun%2BUltimate%2BMoisturizing%2BLight%2BLotion
108,Cosrx Oil-Free Ultra-Moisturizing Lotion,Rp229.000,Moisturizer,229000,Dry,General Care,images/default.jpg,https://shopee.co.id/search?keyword=Cosrx%2BOil-Free%2BUltra-Moisturizing%2BLotion
109,Some By Mi Snail Truecica Miracle Repair Cream,Rp199.000,Moisturizer,199000,Dry,General Care,images/default.jpg,https://shopee.co.id/search?keyword=Some%2BBy%2BMi%2BSnail%2BTruecica%2BMiracle%2BRepair%2BCream
110,Skin1004 Hyalu-Cica Water-Fit Sun Serum,Rp159.000,Moisturizer,159000,Dry,General Care,images/default.jpg,https://shopee.co.id/search?keyword=Skin1004%2BHyalu-Cica%2BWater-Fit%2BSun%2BSerum
111,Somethinc Balancing Toner,Rp99.000,Toner,99000,Combination,Pore Care,images/toner.jpg,https://shopee.co.id/search?keyword=Somethinc%2BBalancing%2BToner
112,Skintific Mugwort Pore Clarifying Toner,Rp109.000,Toner,109000,Combination,Pore Care,images/toner.jpg,https://shopee.co.id/search?keyword=Skintific%2BMugwort%2BPore%2BClarifying%2BToner
113,Wardah Lightening Toner,Rp55.000,Toner,55000,Combination,Pore Care,images/toner.jpg,https://shopee.co.id/search?keyword=Wardah%2BLightening%2BToner
114,Hanasui Toner Wajah,Rp29.000,Toner,29000,Combination,Pore Care,images/toner.jpg,https://shopee.co.id/search?keyword=Hanasui%2BToner%2BWajah
115,Implora Brightening Toner,Rp25.000,Toner,25000,Combination,Pore Care,images/toner.jpg,https://shopee.co.id/search?keyword=Implora%2BBrightening%2BToner
116,Emina Bright Stuff Facial Toner,Rp35.000,Toner,35000,Combination,Pore Care,images/toner.jpg,https://shopee.co.id/search?keyword=Emina%2BBright%2BStuff%2BFacial%2BToner
117,Azarine Soothing Toner Essence,Rp55.000,Toner,55000,Combination,Pore Care,images/toner.jpg,https://shopee.co.id/search?keyword=Azarine%2BSoothing%2BToner%2BEssence
118,Glad2Glow 2% BHA Toner,Rp65.000,Toner,65000,Combination,Pore Care,images/toner.jpg,https://shopee.co.id/search?keyword=Glad2Glow%2B2%25%2BBHA%2BToner
119,The Originote AHA BHA Toner,Rp45.000,Toner,45000,Combination,Pore Care,images/toner.jpg,https://shopee.co.id/search?keyword=The%2BOriginote%2BAHA%2BBHA%2BToner
120,Npure Centella Asiatica Toner,Rp89.000,Toner,89000,Combination,Pore Care,images/toner.jpg,https://shopee.co.id/search?keyword=Npure%2BCentella%2BAsiatica%2BToner
121,Dear Me Beauty BHA Toner,Rp109.000,Toner,109000,Combination,Pore Care,images/toner.jpg,https://shopee.co.id/search?keyword=Dear%2BMe%2BBeauty%2BBHA%2BToner
122,Avoskin Pomegranate Toner,Rp129.000,Toner,129000,Combination,Pore Care,images/toner.jpg,https://shopee.co.id/search?keyword=Avoskin%2BPomegranate%2BToner
123,Garnier Micellar Water Pink,Rp55.000,Toner,55000,Combination,Pore Care,images/toner.jpg,https://shopee.co.id/search?keyword=Garnier%2BMicellar%2BWater%2BPink
124,Garnier Micellar Water Blue Oily Skin,Rp55.000,Toner,55000,Combination,Pore Care,images/toner.jpg,https://shopee.co.id/search?keyword=Garnier%2BMicellar%2BWater%2BBlue%2BOily%2BSkin
125,Hada Labo Tamagohada Mild Peeling Lotion,Rp149.000,Toner,149000,Combination,Pore Care,images/toner.jpg,https://shopee.co.id/search?keyword=Hada%2BLabo%2BTamagohada%2BMild%2BPeeling%2BLotion
126,Cosrx AHA/BHA Clarifying Treatment Toner,Rp199.000,Toner,199000,Combination,Pore Care,images/toner.jpg,https://shopee.co.id/search?keyword=Cosrx%2BAHA/BHA%2BClarifying%2BTreatment%2BToner
127,Some By Mi AHA BHA PHA 30 Days Miracle Toner,Rp179.000,Toner,179000,Combination,Pore Care,images/toner.jpg,https://shopee.co.id/search?keyword=Some%2BBy%2BMi%2BAHA%2BBHA%2BPHA%2B30%2BDays%2BMiracle%2BToner
128,Skin1004 Centella Hyalu-Cica Toning Toner,Rp139.000,Toner,139000,Combination,Pore Care,images/toner.jpg,https://shopee.co.id/search?keyword=Skin1004%2BCentella%2BHyalu-Cica%2BToning%2BToner
129,Kahf Refreshing Toner for Men,Rp59.000,Toner,59000,Combination,Pore Care,images/toner.jpg,https://shopee.co.id/search?keyword=Kahf%2BRefreshing%2BToner%2Bfor%2BMen
130,Somethinc Cleanser Low pH Gel,Rp99.000,Facial Wash,99000,Oily,General Care,images/default.jpg,https://shopee.co.id/search?keyword=Somethinc%2BCleanser%2BLow%2BpH%2BGel
131,Skintific Mugwort Pore Clarifying Facial Wash,Rp109.000,Facial Wash,109000,Oily,General Care,images/default.jpg,https://shopee.co.id/search?keyword=Skintific%2BMugwort%2BPore%2BClarifying%2BFacial%2BWash
132,Wardah Acnederm Facial Wash,Rp65.000,Facial Wash,65000,Oily,General Care,images/default.jpg,https://shopee.co.id/search?keyword=Wardah%2BAcnederm%2BFacial%2BWash
133,Wardah Brightening Facial Wash,Rp55.000,Facial Wash,55000,Oily,General Care,images/default.jpg,https://shopee.co.id/search?keyword=Wardah%2BBrightening%2BFacial%2BWash
134,Ms Glow Facial Wash,Rp95.000,Facial Wash,95000,Oily,General Care,images/default.jpg,https://shopee.co.id/search?keyword=Ms%2BGlow%2BFacial%2BWash
135,Hanasui Facial Wash Brightening,Rp25.000,Facial Wash,25000,Oily,General Care,images/default.jpg,https://shopee.co.id/search?keyword=Hanasui%2BFacial%2BWash%2BBrightening
136,Implora Facial Wash,Rp20.000,Facial Wash,20000,Oily,General Care,images/default.jpg,https://shopee.co.id/search?keyword=Implora%2BFacial%2BWash
137,Emina Bright Stuff Face Wash,Rp39.000,Facial Wash,39000,Oily,General Care,images/default.jpg,https://shopee.co.id/search?keyword=Emina%2BBright%2BStuff%2BFace%2BWash
138,Azarine Acne Fighter Facial Wash,Rp55.000,Facial Wash,55000,Oily,General Care,images/default.jpg,https://shopee.co.id/search?keyword=Azarine%2BAcne%2BFighter%2BFacial%2BWash
139,Glad2Glow Brightening Facial Wash,Rp49.000,Facial Wash,49000,Oily,General Care,images/default.jpg,https://shopee.co.id/search?keyword=Glad2Glow%2BBrightening%2BFacial%2BWash
