user_id,age,skin_type,concern
95,19,Normal,Anti-aging
96,28,Normal,Anti-aging
97,22,Normal,Redness
98,30,Oily,Brightening
99,32,Dry,Hydration
100,19,Dry,Redness
101,34,Combination,Dullness
102,25,Combination,Redness
103,20,Normal,Redness
104,19,Normal,Redness
105,21,Normal,Redness
106,36,Sensitive,Anti-aging
107,32,Combination,Hydration
108,24,Sensitive,Anti-aging
109,18,Sensitive,Brightening
110,29,Combination,Acne
111,28,Combination,Redness
112,35,Combination,Hydration
113,35,Dry,Dullness
114,31,Sensitive,Hydration
115,32,Oily,Hydration
116,27,Dry,Brightening
117,30,Combination,Hydration
118,24,Sensitive,Anti-aging
119,36,Dry,Brightening
120,19,Dry,Dullness
121,19,Oily,Anti-aging
122,21,Combination,Brightening
123,40,Sensitive,Brightening
124,27,Dry,Dullness
125,36,Combination,Redness
126,34,Normal,Anti-aging
127,24,Normal,Hydration
128,28,Normal,Redness
129,38,Combination,Hydration
130,31,Oily,Redness
131,30,Sensitive,Brightening
132,36,Sensitive,Acne
133,19,Normal,Brightening
134,22,Normal,Dullness
135,40,Oily,Acne
136,18,Oily,Hydration
137,28,Normal,Dullness
138,28,Normal,Redness
139,25,Sensitive,Redness
140,32,Dry,Hydration
141,39,Normal,Brightening
142,30,Oily,Anti-aging
143,36,Combination,Dullness
144,29,Dry,Redness
145,19,Oily,Hydration
146,31,Normal,Redness
147,38,Sensitive,Redness
148,21,Oily,Brightening
149,29,Normal,Anti-aging
150,33,Combination,Acne
151,33,Oily,Brightening
152,21,Sensitive,Dullness
153,25,Combination,Dullness
154,20,Oily,Hydration
155,23,Oily,Hydration
156,37,Combination,Acne
157,39,Oily,Acne
158,25,Dry,Anti-aging
159,21,Sensitive,Redness
160,30,Dry,Acne
161,22,Oily,Redness
162,31,Combination,Hydration
163,22,Normal,Brightening
164,40,Sensitive,Acne
165,31,Combination,Brightening
166,22,Dry,Redness
167,19,Dry,Brightening
168,39,Dry,Hydration
169,33,Oily,Acne
170,19,Combination,Anti-aging
171,22,Dry,Brightening
172,36,Combination,Dullness
173,23,Combination,Dullness
174,40,Sensitive,Dullness
175,29,Normal,Anti-aging
176,20,Oily,Hydration
177,24,Dry,Dullness
178,28,Combination,Brightening
179,31,Sensitive,Dullness
180,33,Dry,Acne
181,22,Oily,Acne
182,33,Dry,Hydration
183,37,Normal,Brightening
184,32,Normal,Dullness
185,18,Combination,Dullness
186,34,Combination,Dullness
187,19,Oily,Redness
188,35,Dry,Redness
189,37,Dry,Anti-aging
190,39,Dry,Hydration
191,35,Oily,Acne
192,33,Oily,Hydration
193,31,Dry,Brightening
194,31,Normal,Brightening
195,36,Sensitive,Acne
196,33,Normal,Hydration
197,18,Sensitive,Brightening
198,20,Oily,Acne
199,31,Normal,Acne
200,20,Dry,Anti-aging
201,30,Dry,Acne
202,29,Sensitive,Hydration
203,22,Dry,Dullness
204,30,Combination,Brightening
205,24,Oily,Redness
206,28,Normal,Redness
207,37,Normal,Anti-aging
208,24,Normal,Anti-aging
209,27,Normal,Anti-aging
210,39,Dry,Brightening
211,39,Combination,Anti-aging
212,27,Oily,Acne
213,37,Sensitive,Acne
214,20,Dry,Dullness
215,20,Combination,Dullness
216,18,Oily,Hydration
217,35,Oily,Brightening
218,28,Normal,Acne
219,19,Normal,Acne
220,25,Sensitive,Brightening
221,33,Oily,Redness
222,18,Dry,Hydration
223,32,Dry,Anti-aging
224,29,Normal,Dullness
225,33,Normal,Anti-aging
226,40,Normal,Acne
227,26,Dry,Anti-aging
228,21,Oily,Dullness
229,29,Sensitive,Brightening
230,27,Sensitive,Hydration
231,24,Dry,Hydration
232,31,Normal,Hydration
233,25,Oily,Redness
234,37,Oily,Acne
235,30,Normal,Redness
236,29,Dry,Anti-aging
237,19,Normal,Hydration
238,22,Dry,Hydration
239,36,Sensitive,Anti-aging
240,25,Combination,Dullness
241,23,Sensitive,Redness
242,18,Oily,Hydration
243,38,Dry,Acne
244,37,Oily,Redness
245,35,Combination,Brightening
246,31,Dry,Dullness
247,20,Normal,Redness
248,20,Sensitive,Dullness
249,29,Combination,Dullness
250,34,Combination,Dullness
251,18,Normal,Acne
252,19,Sensitive,Hydration
253,32,Sensitive,Hydration
254,35,Sensitive,Hydration
255,19,Combination,Acne
256,18,Sensitive,Brightening
257,34,Combination,Dullness
258,38,Dry,Hydration
259,21,Normal,Brightening
260,29,Sensitive,Acne
261,34,Normal,Brightening
262,30,Normal,Anti-aging
263,24,Combination,Brightening
264,23,Dry,Anti-aging
265,39,Combination,Brightening
266,33,Dry,Acne
267,22,Dry,Hydration
268,22,Dry,Acne
269,25,Oily,Acne
270,25,Combination,Brightening
271,19,Dry,Acne
272,30,Normal,Acne
273,29,Normal,Hydration
274,21,Normal,Redness
275,31,Combination,Brightening
276,29,Dry,Hydration
277,28,Sensitive,Acne
278,27,Normal,Hydration
279,37,Dry,Dullness
280,26,Combination,Anti-aging
281,19,Dry,Acne
282,37,Dry,Brightening
283,19,Dry,Redness
284,33,Oily,Redness
285,31,Combination,Redness
286,39,Sensitive,Acne
287,36,Oily,Redness
288,23,Oily,Brightening
289,18,Dry,Hydration
290,38,Oily,Dullness
291,34,Normal,Redness
292,23,Oily,Anti-aging
293,24,Oily,Hydration
294,36,Sensitive,Brightening
295,33,Normal,Hydration
296,33,Combination,Dullness
297,33,Normal,Acne
298,27,Dry,Hydration
299,21,Dry,Anti-aging
300,27,Sensitive,Dullness
